"id","hs96","english name","nom français","classification","code parent","level","isLeaf"
"0101",1.,"Animals; live","Animaux ; habitent","H1","TOTAL",2.,0.
"010101",101.,"Horses, asses, mules and hinnies; live","Chevaux, ânes, mules et bardots  ; habitent","H1",1.,4.,0.
"0110111",10111.,"Horses; live, pure-bred breeding animals","Les chevaux ; animaux reproducteurs vivants de race pure","H1",101.,6.,1.
"0110119",10119.,"Horses; live, other than pure-bred breeding animals","Les chevaux ; vivants, autres que les reproducteurs de race pure","H1",101.,6.,1.
"0110120",10120.,"Asses, mules and hinnies; live","Ânes, mulets et bardots  ; habitent","H1",101.,6.,1.
"010102",102.,"Bovine animals; live","Bovins ; habitent","H1",1.,4.,0.
"0110210",10210.,"Bovine animals; live, pure-bred breeding animals","Bovins ; animaux reproducteurs vivants de race pure","H1",102.,6.,1.
"0110290",10290.,"Bovine animals; live, other than pure-bred breeding animals","Bovins ; vivants, autres que les reproducteurs de race pure","H1",102.,6.,1.
"010103",103.,"Swine; live","Porc ; habitent","H1",1.,4.,0.
"0110310",10310.,"Swine; live, pure-bred breeding animals","Porc ; animaux reproducteurs vivants de race pure","H1",103.,6.,1.
"0110391",10391.,"Swine; live, (other than pure-bred breeding animals), weighing less than 50kg","Porc ; vivants (autres que les reproducteurs de race pure) pesant moins de 50 kg","H1",103.,6.,1.
"0110392",10392.,"Swine; live, (other than pure-bred breeding animals), weighing 50kg or more","Porc ; vivants (autres que les reproducteurs de race pure), pesant 50 kg ou plus","H1",103.,6.,1.
"010104",104.,"Sheep and goats; live","Moutons et chèvres ; habitent","H1",1.,4.,0.
"0110410",10410.,"Sheep; live","Mouton ; habitent","H1",104.,6.,1.
"0110420",10420.,"Goats; live","Chèvres ; habitent","H1",104.,6.,1.
"010105",105.,"Poultry; live, fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls","La volaille ; vivants, volailles de l'espèce gallus domesticus, canards, oies, dindes et pintades","H1",1.,4.,0.
"0110511",10511.,"Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g","La volaille ; vivants, volailles de l'espèce gallus domesticus, ne pesant pas plus de 185 g","H1",105.,6.,1.
"0110512",10512.,"Poultry; live, weighing not more than 185g, turkeys","La volaille ; vivants, ne pesant pas plus de 185 g, dindes","H1",105.,6.,1.
"0110519",10519.,"Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","La volaille ; vivants, ne pesant pas plus de 185 g, canards, oies et pintades","H1",105.,6.,1.
"0110592",10592.,"Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus","La volaille ; vivants, pesant plus de 185 g mais pas plus de 2000 g, volailles de l'espèce gallus domesticus","H1",105.,6.,1.
"0110593",10593.,"Poultry; live, weighing over 2000g, fowls of the species gallus domesticus","La volaille ; vivants, pesant plus de 2000g, volailles de l'espèce gallus domesticus","H1",105.,6.,1.
"0110599",10599.,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","La volaille ; vivants, canards, oies, dindes et pintades, pesant plus de 185g","H1",105.,6.,1.
"010106",106.,"Animals, n.e.s. in chapter 01; live","Animaux, n.d.a. au chapitre 01  ; habitent","H1",1.,4.,0.
"0110600",10600.,"Animals; live, n.e.s. in chapter 1","Animaux ; vivre, n.d.a. au chapitre 1","H1",106.,6.,1.
"0102",2.,"Meat and edible meat offal","Viande et abats comestibles","H1","TOTAL",2.,0.
"010201",201.,"Meat of bovine animals; fresh or chilled","Viande de bovins ; frais ou réfrigéré","H1",2.,4.,0.
"0120110",20110.,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","Viande ; de bovins, carcasses et demi-carcasses, frais ou réfrigérés","H1",201.,6.,1.
"0120120",20120.,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","Viande ; de bovins, morceaux non désossés (à l'exclusion des carcasses et des demi-carcasses), frais ou réfrigérés","H1",201.,6.,1.
"0120130",20130.,"Meat; of bovine animals, boneless cuts, fresh or chilled","Viande ; de bovins, morceaux désossés, frais ou réfrigérés","H1",201.,6.,1.
"010202",202.,"Meat of bovine animals; frozen","Viande de bovins ; gelé","H1",2.,4.,0.
"0120210",20210.,"Meat; of bovine animals, carcasses and half-carcasses, frozen","Viande ; de bovins, carcasses et demi-carcasses, congelées","H1",202.,6.,1.
"0120220",20220.,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","Viande ; de bovins, morceaux non désossés (hors carcasses et demi-carcasses), congelés","H1",202.,6.,1.
"0120230",20230.,"Meat; of bovine animals, boneless cuts, frozen","Viande ; de bovins, morceaux désossés, congelés","H1",202.,6.,1.
"010203",203.,"Meat of swine; fresh, chilled or frozen","Viande de porc ; frais, réfrigéré ou surgelé","H1",2.,4.,0.
"0120311",20311.,"Meat; of swine, carcasses and half-carcasses, fresh or chilled","Viande ; de porcs, carcasses et demi-carcasses, frais ou réfrigérés","H1",203.,6.,1.
"0120312",20312.,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","Viande ; de porc, jambons, épaules et leurs morceaux, non désossés, frais ou réfrigérés","H1",203.,6.,1.
"0120319",20319.,"Meat; of swine, n.e.s. in item no. 0203.1, fresh or chilled","Viande ; de porcs, n.d.a. dans l'article n°0203.1, frais ou réfrigéré","H1",203.,6.,1.
"0120321",20321.,"Meat; of swine, carcasses and half-carcasses, frozen","Viande ; de porcs, carcasses et demi-carcasses, congelés","H1",203.,6.,1.
"0120322",20322.,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen","Viande ; de porc, jambons, épaules et leurs morceaux, non désossés, congelés","H1",203.,6.,1.
"0120329",20329.,"Meat; of swine, n.e.s. in item no. 0203.2, frozen","Viande ; de porcs, n.d.a. dans l'article n°0203.2, congelé","H1",203.,6.,1.
"010204",204.,"Meat of sheep or goats; fresh, chilled or frozen","Viande de mouton ou de chèvre ; frais, réfrigéré ou surgelé","H1",2.,4.,0.
"0120410",20410.,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled","Viande ; de carcasses et demi-carcasses d'ovins, d'agneaux, frais ou réfrigérés","H1",204.,6.,1.
"0120421",20421.,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled","Viande ; d'ovins, carcasses et demi-carcasses (à l'exclusion des carcasses et demi-carcasses d'agneau), frais ou réfrigérés","H1",204.,6.,1.
"0120422",20422.,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","Viande ; d'ovins (y compris l'agneau), morceaux non désossés (à l'exclusion des carcasses et des demi-carcasses), frais ou réfrigérés","H1",204.,6.,1.
"0120423",20423.,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled","Viande ; de mouton (y compris l'agneau), morceaux désossés, frais ou réfrigérés","H1",204.,6.,1.
