"Code 4-digit","Section Code","Part 2-digit","Part 4-digit","Product Name","Nom du produit"
"0706","Type 2","07","06","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled","Carottes, navets, betteraves à salade, salsifis, céleri-rave, radis et racines comestibles similaires  ; frais ou réfrigéré"
"0707","Type 2","07","07","Cucumbers and gherkins; fresh or chilled","Concombres et cornichons ; frais ou réfrigéré"
"0708","Type 2","07","08","Leguminous vegetables; shelled or unshelled, fresh or chilled","Légumes à cosse ; décortiqué ou non, frais ou réfrigéré"
"0709","Type 2","07","09","Vegetables, n.e.s. in chapter 07; fresh or chilled","Légumes, n.d.a. au chapitre 07 ; frais ou réfrigéré"
"0710","Type 2","07","10","Vegetables (uncooked or cooked by steaming or boiling in water); frozen","Légumes (non cuits ou cuits à la vapeur ou bouillis dans l'eau) ; gelé"
"0711","Type 2","07","11","Vegetables provisionally preserved; (eg by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Légumes conservés provisoirement  ; (par exemple par du dioxyde de soufre gazeux, dans de la saumure, dans de l'eau sulfureuse ou dans d'autres solutions de conservation), mais impropre dans cet état à la consommation immédiate"
"0712","Type 2","07","12","Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Légumes séchés ; entiers, coupés, tranchés, brisés ou en poudre, mais non autrement préparés"
"0713","Type 2","07","13","Vegetables, dried leguminous; shelled, whether or not skinned or split","Légumes, légumineuses séchées  ; décortiqués, même décortiqués ou fendus"
"0714","Type 2","07","14","Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh or dried, whether or not sliced or in the form of pellets; sago pith","Manioc, arrow-root, salep, topinambours, patates douces et racines et tubercules similaires à haute teneur en amidon ou en inuline ; frais ou séchés, même tranchés ou sous forme de pellets ; moelle de sagou"
"0801","Type 2","08","01","Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled","Noix comestibles ; noix de coco, noix du Brésil et noix de cajou, fraîches ou séchées, même décortiquées ou décortiquées"
"0802","Type 2","08","02","Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled","Noix (à l'exclusion des noix de coco, du Brésil et des noix de cajou) ; frais ou séchés, même décortiqués ou décortiqués"
"0803","Type 2","08","03","Bananas, including plantains; fresh or dried","Bananes, y compris plantains  ; frais ou séché"
"0804","Type 2","08","04","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried","Dattes, figues, ananas, avocats, goyaves, mangues et mangoustans  ; frais ou séché"
"0805","Type 2","08","05","Citrus fruit; fresh or dried","Agrumes ; frais ou séché"
"0806","Type 2","08","06","Grapes; fresh or dried","Raisins ; frais ou séché"
"0807","Type 2","08","07","Melons (including watermelons) and papaws (papayas); fresh","Melons (y compris pastèques) et papayes (papayes) ; Frais"
"0808","Type 2","08","08","Apples, pears and quinces; fresh","Pommes, poires et coings ; Frais"
"0809","Type 2","08","09","Apricots, cherries, peaches (including nectarines), plums and sloes, fresh","Abricots, cerises, pêches (y compris les nectarines), prunes et prunelles, frais"
"0810","Type 2","08","10","Fruit, fresh; n.e.s. in chapter 8","Fruits frais ; n.c.a. au chapitre 8"
"0811","Type 2","08","11","Fruit and nuts; uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","Fruits et noix ; non cuits ou cuits à la vapeur ou bouillis dans l'eau, congelés, avec ou sans addition de sucre ou d'autres édulcorants"
"0812","Type 2","08","12","Fruit and nuts provisionally preserved; (eg by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Fruits et noix conservés provisoirement  ; (par exemple par du dioxyde de soufre gazeux, de la saumure, dans de l'eau sulfureuse ou dans d'autres solutions de conservation), mais impropre dans cet état à la consommation immédiate"
"0813","Type 2","08","13","Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter","Fruits séchés autres que ceux du no. 0801 à 0806  ; mélanges de fruits à coque ou de fruits secs du présent chapitre"
"0814","Type 2","08","14","Peel of citrus fruit or melons (including watermelons); fresh, frozen dried or provisionally preserved in brine, in sulphur water or in other preservative solutions","Écorces d'agrumes ou de melons (y compris les pastèques) ; frais, congelé, séché ou conservé provisoirement dans une saumure, dans de l'eau sulfurée ou dans d'autres solutions de conservation"
"0901","Type 2","09","01","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","Café, même torréfié ou décaféiné ; coques et peaux ; succédanés de café contenant du café en toute proportion"
"0902","Type 2","09","02","Tea","Thé"
"0903","Type 2","09","03","Mate","Camarade"
"0904","Type 2","09","04","Pepper of the genus piper; dried or crushed or ground fruits of the genus capsicum or of the genus pimenta","Poivre du genre piper ; fruits séchés ou broyés ou broyés du genre capsicum ou du genre pimenta"
"0905","Type 2","09","05","Vanilla","Vanille"
"0906","Type 2","09","06","Cinnamon and cinnamon-tree flowers","Cannelle et fleurs de cannelier"
"0907","Type 2","09","07","Cloves; (whole fruit, cloves and stems)","Clous de girofle ; (fruits entiers, clous de girofle et tiges)"
"0908","Type 2","09","08","Nutmeg, mace and cardamoms","Noix de muscade, macis et cardamomes"
"0909","Type 2","09","09","Seeds of anise, badian, fennel, coriander, cumin, caraway or juniper","Graines d'anis, de badiane, de fenouil, de coriandre, de cumin, de carvi ou de genévrier"
"0910","Type 2","09","10","Ginger, saffron, tumeric (curcuma), thyme, bay leaves, curry and other spices","Gingembre, safran, curcuma (curcuma), thym, laurier, curry et autres épices"
"1001","Type 2","10","01","Wheat and meslin","Blé et méteil"
"1002","Type 2","10","02","Rye","Seigle"
"1003","Type 2","10","03","Barley","Orge"
"1004","Type 2","10","04","Oats","Avoine"
"1005","Type 2","10","05","Maize (corn)","Maïs (maïs)"
"1006","Type 2","10","06","Rice","Riz"
"1007","Type 2","10","07","Grain sorghum","Sorgho grain"
"1008","Type 2","10","08","Buckwheat, millet and canary seed; other cereals","Sarrasin, millet et alpiste ; autres céréales"
"1101","Type 2","11","01","Wheat or meslin flour","Farine de blé ou de méteil"
"1102","Type 2","11","02","Cereal flours; other than of wheat or meslin","Farines de céréales ; autres que de froment ou de méteil"
"1103","Type 2","11","03","Cereal groats; meal and pellets","Gruaux de céréales ; farine et granulés"
"1104","Type 2","11","04","Cereal grains otherwise worked (eg hulled, rolled, flaked, pearled, sliced or kibbled) except rice of heading no. 1006; germ of cereals whole, rolled, flaked or ground","Grains de céréales autrement travaillés (par exemple, décortiqués, aplatis, en flocons, perlés, tranchés ou concassés) à l'exception du riz du no. 1006  ; germe de céréales entier, roulé, en flocons ou moulu"
"1105","Type 2","11","05","Flour, meal, and flakes of potatoes","Farine, semoule et flocons de pommes de terre"
"1106","Type 2","11","06","Flour and meal; of the dried leguminous vegetables of heading no. 0713, of sago or of roots or tubers of heading no. 0714; flour, meal and powder of the products of chapter 8","Farine et semoule  ; des légumes à cosse secs du no. 0713, de sagou ou de racines ou tubercules du no. 0714  ; farine, semoule et poudre des produits du chapitre 8"
"1107","Type 2","11","07","Malt; whether or not roasted","Malt ; torréfié ou non"
"1108","Type 2","11","08","Starches; inulin","Amidons ; inuline"
"1109","Type 2","11","09","Wheat gluten; whether or not dried","Gluten de blé ; séché ou non"
"1201","Type 2","12","01","Soya beans; whether or not broken","Les graines de soja ; cassé ou non"
"1202","Type 2","12","02","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","Arachides ; non rôtis ni autrement cuits, même décortiqués ou brisés"
"1203","Type 2","12","03","Copra","Copra"
"1204","Type 2","12","04","Oil seeds; linseed, whether or not broken","Graines oléagineuses ; graines de lin, même concassées"
"1205","Type 2","12","05","Rape or colza seeds; whether or not broken","Graines de navette ou de colza ; cassé ou non"
"1206","Type 2","12","06","Sunflower seeds; whether or not broken","Graines de tournesol ; cassé ou non"
"1207","Type 2","12","07","Oil seeds and oleaginous fruits, others n.e.s. in chapter 12; whether or not broken","Graines et fruits oléagineux, autres n.d.a. au chapitre 12 ; cassé ou non"
"1208","Type 2","12","08","Flours and meals of oil seeds or oleaginous fruits; other than those of mustard","Farines et semoules de graines ou de fruits oléagineux ; autres que ceux de la moutarde"
"1209","Type 2","12","09","Seeds, fruit and spores; of a kind used for sowing","Graines, fruits et spores ; du type utilisé pour l'ensemencement"
"1210","Type 2","12","10","Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin","Cônes de houblon, frais ou séchés, même broyés, moulus ou sous forme de pellets ; lupuline"
"1211","Type 2","12","11","Plants and parts of plants (including seeds and fruits), used primarily in perfumery, pharmacy; for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not crushed or powdered","Plantes et parties de plantes (y compris graines et fruits), utilisées principalement en parfumerie, pharmacie ; à usage insecticide, fongicide ou similaire, frais ou séchés, même broyés ou réduits en poudre"
"1212","Type 2","12","12","Locust beans, seaweeds and other algae, sugar beet, sugar cane; fresh, dried, whether or not ground; fruit stones, kernels and other vegetable products (including unroasted chicory roots) used primarily for human consumption, n.e.s.","Caroubes, algues et autres algues, betterave sucrière, canne à sucre ; frais, séchés, même moulus ; noyaux de fruits, amandes et autres produits végétaux (y compris les racines de chicorée non torréfiées) utilisés principalement pour l'alimentation humaine, n.d.a."
"1213","Type 2","12","13","Cereal straw and husks, unprepared; whether or not chopped, ground, pressed or in the form of pellets","Paille et balles de céréales, non préparées ; même haché, broyé, pressé ou sous forme de pellets"
"1214","Type 2","12","14","Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets","Rutabagas, mangolds, racines fourragères, foin, luzerne, trèfle, sainfoin, choux fourragers, lupins, vesces et produits fourragers similaires, même sous forme de pellets"
"1301","Type 2","13","01","Lac; natural gums, resins, gum-resins and balsams","Lac ; gommes, résines, gommes-résines et baumes naturels"
"1302","Type 2","13","02","Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products","Sucs et extraits végétaux ; matières pectiques, pectinates et pectates ; agar-agar et autres mucilages et épaississants dérivés de végétaux, même modifiés"
"1401","Type 2","14","01","Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)","Matières végétales des types utilisés principalement pour la tressage ; (par exemple bambous, rotins, roseaux, joncs, osier, raphia, paille de céréales nettoyée, blanchie ou teinte et écorce de tilleul)"
"1402","Type 2","14","02","Vegetable materials of a kind used primarily as stuffing or as padding; (eg kapok, vegetable hair and eel grass), whether or not put up as a layer with or without supporting material","Matières végétales des types utilisés principalement comme farce ou comme rembourrage ; (par exemple, kapok, poils végétaux et zostère), même présentés en couche avec ou sans support"
"1403","Type 2","14","03","Vegetable materials of a kind used primarily in brooms or brushes; (eg broomcorn, piassava, couch-grass and istle), whether or not in hanks or bundles","Matières végétales des types utilisés principalement dans les balais ou les brosses  ; (p.ex. genêt à balai, piassava, chiendent et istle), même en écheveaux ou en bottes"
"1404","Type 2","14","04","Vegetable products not elsewhere specified or included","Produits végétaux non dénommés ni compris ailleurs"
"1501","Type 3","15","01","Lard; other pig fat and poultry fat, rendered, whether or not pressed or solvent-extracted","Saindoux ; autres graisses de porc et graisses de volaille, fondues, même pressées ou extraites au solvant"
"1502","Type 3","15","02","Fats of bovine animals, sheep or goats; raw or rendered, whether or not pressed or solvent-extracted","Graisses de bovins, ovins ou caprins ; bruts ou fondus, même pressés ou extraits au solvant"
"1503","Type 3","15","03","Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil; not emulsified or mixed or otherwise prepared","Stéarine de saindoux, huile de saindoux, oléostéarine, oléo-huile et huile de suif ; non émulsionné ou mélangé ou autrement préparé"
"1504","Type 3","15","04","Fats and oils and their fractions of fish or marine mammals; whether or not refined, but not chemically modified","Graisses et huiles et leurs fractions de poissons ou de mammifères marins  ; même raffiné, mais non chimiquement modifié"
"1505","Type 3","15","05","Wool grease and fatty substances derived therefrom (including lanolin)","Graisse de laine et matières grasses dérivées (y compris la lanoline)"
"1506","Type 3","15","06","Animal fats and oils and their fractions; whether or not refined, but not chemically modified, n.e.s. in chapter 15","Graisses et huiles animales et leurs fractions ; même raffiné, mais non chimiquement modifié, n.d.a. au chapitre 15"
"1507","Type 3","15","07","Soya-bean oil and its fractions; whether or not refined, but not chemically modified","Huile de soja et ses fractions ; même raffiné, mais non chimiquement modifié"
"1508","Type 3","15","08","Ground nut oil and its fractions; whether or not refined, but not chemically modified","Huile d'arachide et ses fractions ; même raffiné, mais non chimiquement modifié"
"1509","Type 3","15","09","Olive oil and its fractions; whether or not refined, but not chemically modified","Huile d'olive et ses fractions ; même raffiné, mais non chimiquement modifié"
"1510","Type 3","15","10","Oils and their fractions n.e.s. in chapter 15, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading no. 1509","Huiles et leurs fractions n.c.a. au chapitre 15, obtenues uniquement à partir d'olives, même raffinées, mais non chimiquement modifiées, y compris les mélanges de ces huiles ou fractions avec des huiles ou fractions du no. 1509"
"1511","Type 3","15","11","Palm oil and its fractions; whether or not refined, but not chemically modified","Huile de palme et ses fractions ; même raffiné, mais non chimiquement modifié"
"1512","Type 3","15","12","Sun-flower seed, safflower or cotton-seed oil and their fractions; whether or not refined, but not chemically modified","Huile de graines de tournesol, de carthame ou de coton et leurs fractions ; même raffiné, mais non chimiquement modifié"
"1513","Type 3","15","13","Coconut (copra), palm kernel or babassu oil and their fractions; whether or not refined but not chemically modified","Huile de noix de coco (coprah), de palmiste ou de babassu et leurs fractions ; même raffiné mais non chimiquement modifié"
"1514","Type 3","15","14","Rape, colza or mustard oil and their fractions; whether or not refined, but not chemically modified","Huile de navette, de colza ou de moutarde et leurs fractions ; même raffiné, mais non chimiquement modifié"
"1515","Type 3","15","15","Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified","Graisses et huiles végétales fixes (y compris l'huile de jojoba) et leurs fractions, raffinées ou non ; mais non modifié chimiquement"
"1516","Type 3","15","16","Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared","Graisses et huiles animales ou végétales et leurs fractions ; partiellement ou totalement hydrogéné, interestérifié, réestérifié ou élaïdinisé, même raffiné, mais non autrement préparé"
"1517","Type 3","15","17","Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516","Margarine ; mélanges ou préparations alimentaires de graisses ou d'huiles animales ou végétales ou de fractions de différentes graisses ou huiles du présent chapitre, autres que les graisses ou huiles alimentaires du no. 1516"
"1518","Type 3","15","18","Animal or vegetable fats, oils, fractions, modified in any way, excluding heading no. 1516; inedible versions of animal or vegetable fats, oils or fractions of this chapter, n.e.s. or included","Graisses, huiles, fractions animales ou végétales, modifiées de quelque manière que ce soit, à l'exclusion du n°1516  ; versions non comestibles des graisses, huiles ou fractions animales ou végétales du présent chapitre, n.d.a. ou inclus"
"1519","Type 3","15","19","Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols, *** NOTE*** data from this heading moved to new heading no. 3823 from 1 January 1996","Acides gras monocarboxyliques industriels ; les huiles acides issues du raffinage ; alcools gras industriels, *** NOTE*** les données de cette position ont été déplacées vers la nouvelle position no. 3823 à partir du 1er janvier 1996"
"1520","Type 3","15","20","Glycerol (glycerine); whether or not pure, glycerol waters and glycerol lyes","Glycérol (glycérine) ; pures ou non, eaux glycérinées et lessives glycérinées"
"1521","Type 3","15","21","Vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti; whether or not refined or coloured","Cires végétales (autres que les triglycérides), cire d'abeille, autres cires d'insectes et spermaceti  ; même raffiné ou coloré"
"1522","Type 3","15","22","Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes","Degras  ; résidus résultant du traitement de corps gras ou de cires animales ou végétales"
"1601","Type 4","16","01","Sausages and similar products of meat, meat offal or blood; food preparations based on these products","Saucisses et produits similaires à base de viande, d'abats ou de sang  ; préparations alimentaires à base de ces produits"
"1602","Type 4","16","02","Prepared or preserved meat, meat offal or blood","Viande préparée ou conservée, abats ou sang"
"1603","Type 4","16","03","Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates","Extraits et jus de viande, poisson ou crustacés, mollusques ou autres invertébrés aquatiques"
"1604","Type 4","16","04","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","Poisson préparé ou conservé ; caviar et succédanés de caviar préparés à partir d'oeufs de poisson"
"1605","Type 4","16","05","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","Crustacés, mollusques et autres invertébrés aquatiques, préparés ou conservés"
"1701","Type 4","17","01","Cane or beet sugar and chemically pure sucrose, in solid form","Sucre de canne ou de betterave et saccharose chimiquement pur, sous forme solide"
"1702","Type 4","17","02","Sugars, including lactose, maltose, glucose or fructose in solid form; sugar syrups without added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel","Sucres, y compris lactose, maltose, glucose ou fructose sous forme solide  ; sirops de sucre sans arôme ni colorant ajoutés ; miel artificiel, même mélangé avec du miel naturel ; caramel"
"1703","Type 4","17","03","Molasses; resulting from the extraction or refining of sugar","Mélasse ; résultant de l'extraction ou du raffinage du sucre"
