"Code 6-digit","Section Code","Part 2-digit","Part 4-digit","Part 6-digit","Product Name","Nom du produit"
"010110","Type 1","01","01","10","Horses, asses, mules and hinnies; live, pure-bred breeding animals","Reproducteurs de race pure"
"010190","Type 1","01","01","90","Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","Autres"
"010210","Type 1","01","02","10","Bovine animals; live, pure-bred breeding animals","Reproducteurs de race pure"
"010290","Type 1","01","02","90","Bovine animals; live, other than pure-bred breeding animals","Autres"
"010310","Type 1","01","03","10","Swine; live, pure-bred breeding animals","Reproducteurs de race pure"
"010391","Type 1","01","03","91","Swine; live, (other than pure-bred breeding animals), weighing less than 50kg","Autres : D'un poids inférieur à 50 kg"
"010392","Type 1","01","03","92","Swine; live, (other than pure-bred breeding animals), weighing 50kg or more","Autres : D'un poids égal ou supérieur à 50 kg"
"010410","Type 1","01","04","10","Sheep; live","De l'espèce ovine"
"010420","Type 1","01","04","20","Goats; live","De l'espèce caprine"
"010511","Type 1","01","05","11","Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g","D'un poids n'excédant pas 185 g : Coqs et poules"
"010512","Type 1","01","05","12","Poultry; live, weighing not more than 185g, turkeys","D'un poids n'excédant pas 185 g : Dindes et dindons"
"010519","Type 1","01","05","19","Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","D'un poids n'excédant pas 185 g : Autres"
"010592","Type 1","01","05","92","Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus","Autres : Coqs et poules d'un poids n'excédant pas 2.000 g"
"010593","Type 1","01","05","93","Poultry; live, weighing over 2000g, fowls of the species gallus domesticus","Autres : Coqs et poules d'un poids excédant 2.000 g"
"010599","Type 1","01","05","99","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","Autres : Autres"
"010611","Type 1","01","06","11","Mammals; live, primates","Mammifères : Primates"
"010612","Type 1","01","06","12","Mammals; live, whales, dolphins and porpoises ( mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","Mammifères : Baleines, dauphins et marsouins (mammifères de l\[CloseCurlyQuote]ordre des cétacés) ; lamantins et dugongs (mammifères de l\[CloseCurlyQuote]ordre des siréniens)"
"010619","Type 1","01","06","19","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","Mammifères : Autres"
"010620","Type 1","01","06","20","Reptiles; live (including snakes and turtles)","Reptiles (y compris les serpents et les tortues de mer)"
"010631","Type 1","01","06","31","Animals; live, birds of prey","Oiseaux : Oiseaux de proie"
"010632","Type 1","01","06","32","Animals; live, birds, Psittaciformes","Oiseaux : Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)"
"010639","Type 1","01","06","39","Animals; live, birds, other than birds of prey and Psittaciformes","Oiseaux : Autres"
