"id","hs22","english name","nom français","classification","code parent","level","isLeaf"
"0101",1,"Live animals","Animaux vivants","H6","TOTAL",2.,0.
"010101",101,"Live horses, asses, mules and hinnies","Chevaux, ânes, mulets et bardots, vivants","H6",1,4.,0.
"0110121",10121,"Horses : Pure-bred breeding animals","Chevaux : Reproducteurs de race pure","H6",101,6.,1.
"0110129",10129,"Horses : Other","Chevaux : Autres","H6",101,6.,1.
"0110130",10130,"Asses","Anes","H6",101,6.,1.
"0110190",10190,"Other","Autres","H6",101,6.,1.
"010102",102,"Live bovine animals","Animaux vivants de l\[CloseCurlyQuote]espèce bovine","H6",1,4.,0.
"0110221",10221,"Cattle : Pure-bred breeding animals","Bovins domestiques : Reproducteurs de race pure","H6",102,6.,1.
"0110229",10229,"Cattle : Other","Bovins domestiques : Autres","H6",102,6.,1.
"0110231",10231,"Buffalo : Pure-bred breeding animals","Buffles : Reproducteurs de race pure","H6",102,6.,1.
"0110239",10239,"Buffalo : Other","Buffles : Autres","H6",102,6.,1.
"0110290",10290,"Other","Autres","H6",102,6.,1.
"010103",103,"Live swine","Animaux vivants de l\[CloseCurlyQuote]espèce porcine","H6",1,4.,0.
"0110310",10310,"Pure-bred breeding animals","Reproducteurs de race pure","H6",103,6.,1.
"0110391",10391,"Other : Weighing less than 50 kg","Autres : D\[CloseCurlyQuote]un poids inférieur à 50 kg","H6",103,6.,1.
"0110392",10392,"Other : Weighing 50 kg or more","Autres : D\[CloseCurlyQuote]un poids égal ou supérieur à 50 kg","H6",103,6.,1.
"010104",104,"Live sheep and goats","Animaux vivants des espèces ovine ou caprine","H6",1,4.,0.
"0110410",10410,"Sheep","De l\[CloseCurlyQuote]espèce ovine","H6",104,6.,1.
"0110420",10420,"Goats","De l\[CloseCurlyQuote]espèce caprine","H6",104,6.,1.
"010105",105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques","H6",1,4.,0.
"0110511",10511,"Weighing not more than 185 g : Fowls of the species Gallus domesticus","D'un poids n'excédant pas 185 g : Volailles de l'espèce Gallus domesticus","H6",105,6.,1.
"0110512",10512,"Weighing not more than 185 g : Turkeys","D'un poids n'excédant pas 185 g : Dindes et dindons","H6",105,6.,1.
"0110513",10513,"Weighing not more than 185 g : Ducks","D'un poids n'excédant pas 185 g : Canards","H6",105,6.,1.
"0110514",10514,"Weighing not more than 185 g : Geese","D'un poids n'excédant pas 185 g : Oies","H6",105,6.,1.
"0110515",10515,"Weighing not more than 185 g : Guinea fowls","D'un poids n'excédant pas 185 g : Pintades","H6",105,6.,1.
"0110594",10594,"Other : Fowls of the species Gallus domesticus","Autres : Volailles de l'espèce Gallus domesticus","H6",105,6.,1.
"0110599",10599,"Other : Other","Autres : Autres","H6",105,6.,1.
"010106",106,"Other live animals","Autres : Autres animaux vivants","H6",1,4.,0.
"0110611",10611,"Mammals : Primates","Mammifères : Primates","H6",106,6.,1.
